Epoch_ID,Time,Satellite,C1C_m
1,2024-11-14 08:57:18,G04,21274373.129
1,2024-11-14 08:57:18,G07,21146821.988
1,2024-11-14 08:57:18,G08,23591925.098
1,2024-11-14 08:57:18,G09,20147867.234
1,2024-11-14 08:57:18,G16,23364638.602
1,2024-11-14 08:57:18,G20,23702750.934
1,2024-11-14 08:57:18,G30,22578894.672
2,2024-11-14 08:57:19,G04,21274683.723
2,2024-11-14 08:57:19,G07,21146743.23
2,2024-11-14 08:57:19,G08,23591477.734
2,2024-11-14 08:57:19,G09,20147872.328
2,2024-11-14 08:57:19,G16,23365252.551
2,2024-11-14 08:57:19,G20,23702309.867
2,2024-11-14 08:57:19,G30,22578519.859
3,2024-11-14 08:57:20,G04,21274994.867
3,2024-11-14 08:57:20,G07,21146664.453
3,2024-11-14 08:57:20,G08,23591030.633
3,2024-11-14 08:57:20,G09,20147877.398
3,2024-11-14 08:57:20,G16,23365866.625
3,2024-11-14 08:57:20,G20,23701869.066
3,2024-11-14 08:57:20,G30,22578144.449
4,2024-11-14 08:57:21,G04,21275305.996
4,2024-11-14 08:57:21,G07,21146585.941
4,2024-11-14 08:57:21,G08,23590583.375
4,2024-11-14 08:57:21,G09,20147882.738
4,2024-11-14 08:57:21,G16,23366480.82
4,2024-11-14 08:57:21,G20,23701428.676
4,2024-11-14 08:57:21,G30,22577769.309
5,2024-11-14 08:57:22,G04,21275617.203
5,2024-11-14 08:57:22,G07,21146507.223
5,2024-11-14 08:57:22,G08,23590136.48
5,2024-11-14 08:57:22,G09,20147888.02
5,2024-11-14 08:57:22,G16,23367094.668
5,2024-11-14 08:57:22,G20,23700988.078
5,2024-11-14 08:57:22,G30,22577394.535
6,2024-11-14 08:57:23,G04,21275928.281
6,2024-11-14 08:57:23,G07,21146428.664
6,2024-11-14 08:57:23,G08,23589689.172
6,2024-11-14 08:57:23,G09,20147893.594
6,2024-11-14 08:57:23,G16,23367709.102
6,2024-11-14 08:57:23,G20,23700546.777
6,2024-11-14 08:57:23,G30,22577019.773
7,2024-11-14 08:57:24,G04,21276239.332
7,2024-11-14 08:57:24,G07,21146350.07
7,2024-11-14 08:57:24,G08,23589241.977
7,2024-11-14 08:57:24,G09,20147899.0
7,2024-11-14 08:57:24,G16,23368323.504
7,2024-11-14 08:57:24,G20,23700105.879
7,2024-11-14 08:57:24,G30,22576644.551
8,2024-11-14 08:57:25,G04,21276550.785
8,2024-11-14 08:57:25,G07,21146271.602
8,2024-11-14 08:57:25,G08,23588795.043
8,2024-11-14 08:57:25,G09,20147904.664
8,2024-11-14 08:57:25,G16,23368937.453
8,2024-11-14 08:57:25,G20,23699665.098
8,2024-11-14 08:57:25,G30,22576269.449
9,2024-11-14 08:57:26,G04,21276862.367
9,2024-11-14 08:57:26,G07,21146193.402
9,2024-11-14 08:57:26,G08,23588347.668
9,2024-11-14 08:57:26,G09,20147910.176
9,2024-11-14 08:57:26,G16,23369551.676
9,2024-11-14 08:57:26,G20,23699224.879
9,2024-11-14 08:57:26,G30,22575894.48
10,2024-11-14 08:57:27,G04,21277173.781
10,2024-11-14 08:57:27,G07,21146114.887
10,2024-11-14 08:57:27,G08,23587900.836
10,2024-11-14 08:57:27,G09,20147915.801
10,2024-11-14 08:57:27,G16,23370166.301
10,2024-11-14 08:57:27,G20,23698784.625
10,2024-11-14 08:57:27,G30,22575519.906
11,2024-11-14 08:57:28,G04,21277484.887
11,2024-11-14 08:57:28,G07,21146036.352
11,2024-11-14 08:57:28,G08,23587453.984
11,2024-11-14 08:57:28,G09,20147921.832
11,2024-11-14 08:57:28,G16,23370780.902
11,2024-11-14 08:57:28,G20,23698344.355
11,2024-11-14 08:57:28,G30,22575145.031
12,2024-11-14 08:57:29,G04,21277796.535
12,2024-11-14 08:57:29,G07,21145958.078
12,2024-11-14 08:57:29,G08,23587007.246
12,2024-11-14 08:57:29,G09,20147927.98
12,2024-11-14 08:57:29,G16,23371395.195
12,2024-11-14 08:57:29,G20,23697904.059
12,2024-11-14 08:57:29,G30,22574770.125
13,2024-11-14 08:57:30,G04,21278108.293
13,2024-11-14 08:57:30,G07,21145879.91
13,2024-11-14 08:57:30,G08,23586561.047
13,2024-11-14 08:57:30,G09,20147933.664
13,2024-11-14 08:57:30,G16,23372010.305
13,2024-11-14 08:57:30,G20,23697464.727
13,2024-11-14 08:57:30,G30,22574396.188
14,2024-11-14 08:57:31,G04,21278419.871
14,2024-11-14 08:57:31,G07,21145801.707
14,2024-11-14 08:57:31,G08,23586113.953
14,2024-11-14 08:57:31,G09,20147940.172
14,2024-11-14 08:57:31,G16,23372624.953
14,2024-11-14 08:57:31,G20,23697024.785
14,2024-11-14 08:57:31,G30,22574021.211
15,2024-11-14 08:57:32,G04,21278731.566
15,2024-11-14 08:57:32,G07,21145723.332
15,2024-11-14 08:57:32,G08,23585667.402
15,2024-11-14 08:57:32,G09,20147946.082
15,2024-11-14 08:57:32,G16,23373240.434
15,2024-11-14 08:57:32,G20,23696584.965
15,2024-11-14 08:57:32,G30,22573646.496
16,2024-11-14 08:57:33,G04,21279043.531
16,2024-11-14 08:57:33,G07,21145645.371
16,2024-11-14 08:57:33,G08,23585220.551
16,2024-11-14 08:57:33,G09,20147951.969
16,2024-11-14 08:57:33,G16,23373855.18
16,2024-11-14 08:57:33,G20,23696145.551
16,2024-11-14 08:57:33,G30,22573272.617
17,2024-11-14 08:57:34,G04,21279355.453
17,2024-11-14 08:57:34,G07,21145567.082
17,2024-11-14 08:57:34,G08,23584773.941
17,2024-11-14 08:57:34,G09,20147958.535
17,2024-11-14 08:57:34,G16,23374469.598
17,2024-11-14 08:57:34,G20,23695705.523
17,2024-11-14 08:57:34,G30,22572898.129
